TRIP ID,START TIME,STOP TIME,BIKE ID,TRIP DURATION,FROM STATION ID,FROM LATITUDE,FROM LONGITUDE,FROM LOCATION,TO LATITUDE,TO LONGITUDE,TO LOCATION
1109420,1/1/14 0:17,1/1/14 0:42,2981,1466,94,41.918306,-87.636282,POINT (-87.636282 41.918306),41.90939601,-87.67769193,POINT (-87.677692 41.909396)
1109421,1/1/14 0:45,1/1/14 0:55,2981,608,69,41.90939601,-87.67769193,POINT (-87.677692 41.909396),41.903029,-87.697474,POINT (-87.697474 41.903029)
1109433,1/1/14 1:43,1/1/14 1:54,90,612,127,41.925905,-87.64926,POINT (-87.64926 41.925905),41.933666,-87.648959,POINT (-87.648959 41.933666)
1109437,1/1/14 1:47,1/1/14 2:06,369,1120,127,41.925905,-87.64926,POINT (-87.64926 41.925905),41.937725,-87.644095,POINT (-87.644095 41.937725)
1109438,1/1/14 1:47,1/1/14 2:05,1478,1077,127,41.925905,-87.64926,POINT (-87.64926 41.925905),41.937725,-87.644095,POINT (-87.644095 41.937725)
1109447,1/1/14 2:21,1/1/14 2:33,1564,720,61,41.907655,-87.672552,POINT (-87.672552 41.907655),41.910337,-87.670072,POINT (-87.670072 41.910337)
1109450,1/1/14 2:45,1/1/14 3:25,1569,2390,13,41.932418,-87.652705,POINT (-87.652705 41.932418),41.96325,-87.679258,POINT (-87.679258 41.96325)
1109451,1/1/14 2:46,1/1/14 3:25,2430,2349,13,41.932418,-87.652705,POINT (-87.652705 41.932418),41.96325,-87.679258,POINT (-87.679258 41.96325)
1109452,1/1/14 2:51,1/1/14 2:59,1967,476,13,41.932418,-87.652705,POINT (-87.652705 41.932418),41.93262,-87.642385,POINT (-87.642385 41.93262)
1109454,1/1/14 2:58,1/1/14 3:15,340,1020,118,41.911386,-87.638677,POINT (-87.638677 41.911386),41.932225,-87.658617,POINT (-87.658617 41.932225)
1109455,1/1/14 2:58,1/1/14 3:15,239,996,118,41.911386,-87.638677,POINT (-87.638677 41.911386),41.932225,-87.658617,POINT (-87.658617 41.932225)
1109456,1/1/14 3:03,1/1/14 3:24,1046,1243,293,41.965485,-87.657238,POINT (-87.657238 41.965485),41.96325,-87.679258,POINT (-87.679258 41.96325)
1109464,1/1/14 4:21,1/1/14 4:50,2362,1728,268,41.911722,-87.626804,POINT (-87.626804 41.911722),41.928712,-87.653833,POINT (-87.653833 41.928712)
1109465,1/1/14 4:28,1/1/14 4:32,2167,194,52,41.886024,-87.624117,POINT (-87.624117 41.886024),41.886024,-87.624117,POINT (-87.624117 41.886024)
1109466,1/1/14 4:33,1/1/14 5:04,1833,1866,52,41.886024,-87.624117,POINT (-87.624117 41.886024),41.886024,-87.624117,POINT (-87.624117 41.886024)
1109467,1/1/14 5:24,1/1/14 6:23,255,3527,176,41.903233,-87.631253,POINT (-87.631253 41.903233),41.898969,-87.629912,POINT (-87.629912 41.898969)
1109502,1/1/14 7:23,1/1/14 7:41,155,1104,214,41.89122,-87.67686,POINT (-87.67686 41.89122),41.912616,-87.681391,POINT (-87.681391 41.912616)
1109599,1/1/14 11:10,1/1/14 11:21,429,602,31,41.89680204,-87.63563839,POINT (-87.635638 41.896802),41.912133,-87.634656,POINT (-87.634656 41.912133)
1109685,1/1/14 13:16,1/1/14 13:28,424,726,56,41.88871604,-87.64444785,POINT (-87.644448 41.888716),41.893992,-87.629318,POINT (-87.629318 41.893992)
1109716,1/1/14 13:48,1/1/14 14:32,476,2648,169,41.874337,-87.639566,POINT (-87.639566 41.874337),41.874337,-87.639566,POINT (-87.639566 41.874337)
1109871,1/1/14 18:00,1/1/14 18:21,1351,1284,194,41.886875,-87.62603,POINT (-87.62603 41.886875),41.884728,-87.619521,POINT (-87.619521 41.884728)
1109886,1/1/14 18:25,1/1/14 18:54,306,1737,158,41.912616,-87.681391,POINT (-87.681391 41.912616),41.891,-87.645925,POINT (-87.645925 41.891)
1109959,1/1/14 21:29,1/1/14 21:44,1079,933,260,41.929567,-87.707857,POINT (-87.707857 41.929567),41.922695,-87.697153,POINT (-87.697153 41.922695)
1109964,1/1/14 22:12,1/1/14 22:15,1638,210,51,41.88457623,-87.63188991,POINT (-87.63189 41.884576),41.886875,-87.62603,POINT (-87.62603 41.886875)
1110473,1/4/14 9:47,1/4/14 9:56,1521,527,94,41.918306,-87.636282,POINT (-87.636282 41.918306),41.928712,-87.653833,POINT (-87.653833 41.928712)
1110501,1/4/14 10:34,1/4/14 10:58,2480,1449,181,41.890749,-87.63206,POINT (-87.63206 41.890749),41.864883,-87.647071,POINT (-87.647071 41.864883)
1110529,1/4/14 11:08,1/4/14 11:18,2362,585,302,41.928712,-87.653833,POINT (-87.653833 41.928712),41.918306,-87.636282,POINT (-87.636282 41.918306)
1110583,1/4/14 12:21,1/4/14 12:25,2110,261,186,41.891795,-87.658751,POINT (-87.658751 41.891795),41.89636246,-87.65406127,POINT (-87.654061 41.896362)
1110601,1/4/14 12:48,1/4/14 13:11,2525,1409,45,41.876243,-87.624426,POINT (-87.624426 41.876243),41.865212,-87.617759,POINT (-87.617759 41.865212)
1110621,1/4/14 13:01,1/4/14 13:08,1575,378,183,41.899714,-87.677234,POINT (-87.677234 41.899714),41.90939601,-87.67769193,POINT (-87.677692 41.909396)
1110631,1/4/14 13:09,1/4/14 13:31,1740,1347,69,41.90939601,-87.67769193,POINT (-87.677692 41.909396),41.93649682,-87.64753866,POINT (-87.647539 41.936497)
1110730,1/4/14 14:51,1/4/14 15:16,240,1445,97,41.865212,-87.617759,POINT (-87.617759 41.865212),41.8810317,-87.62408432,POINT (-87.624084 41.881032)
1110731,1/4/14 14:51,1/4/14 15:16,1685,1451,97,41.865212,-87.617759,POINT (-87.617759 41.865212),41.8810317,-87.62408432,POINT (-87.624084 41.881032)
1110745,1/4/14 15:15,1/4/14 15:19,2596,245,86,41.89637337,-87.66098386,POINT (-87.660984 41.896373),41.89636246,-87.65406127,POINT (-87.654061 41.896362)
1110751,1/4/14 15:24,1/4/14 15:32,1847,473,54,41.89636246,-87.65406127,POINT (-87.654061 41.896362),41.907066,-87.667252,POINT (-87.667252 41.907066)
1110795,1/4/14 16:50,1/4/14 17:18,1740,1656,156,41.93649682,-87.64753866,POINT (-87.647539 41.936497),41.973385,-87.668365,POINT (-87.668365 41.973385)
1110796,1/4/14 16:51,1/4/14 17:03,2768,707,186,41.891795,-87.658751,POINT (-87.658751 41.891795),41.881892,-87.648789,POINT (-87.648789 41.881892)
1110809,1/4/14 17:34,1/4/14 17:45,2032,664,181,41.890749,-87.63206,POINT (-87.63206 41.890749),41.891071,-87.6122,POINT (-87.6122 41.891071)
1110813,1/4/14 17:45,1/4/14 17:58,2768,770,198,41.881892,-87.648789,POINT (-87.648789 41.881892),41.891795,-87.658751,POINT (-87.658751 41.891795)
1110841,1/4/14 19:04,1/4/14 19:17,47,788,35,41.891071,-87.6122,POINT (-87.6122 41.891071),41.88918,-87.6277,POINT (-87.6277 41.88918)
1110845,1/4/14 19:18,1/4/14 19:28,47,605,47,41.88918,-87.6277,POINT (-87.6277 41.88918),41.885464,-87.641253,POINT (-87.641253 41.885464)
1110853,1/4/14 19:32,1/4/14 19:48,47,962,66,41.885464,-87.641253,POINT (-87.641253 41.885464),41.884078,-87.648684,POINT (-87.648684 41.884078)
1110867,1/4/14 20:34,1/4/14 20:49,1031,929,67,41.92560188,-87.65370804,POINT (-87.653708 41.925602),41.918306,-87.636282,POINT (-87.636282 41.918306)
1110922,1/5/14 11:49,1/5/14 12:20,454,1888,183,41.899714,-87.677234,POINT (-87.677234 41.899714),41.919936,-87.64883,POINT (-87.64883 41.919936)
1111114,1/9/14 7:47,1/9/14 7:58,1054,667,86,41.89637337,-87.66098386,POINT (-87.660984 41.896373),41.897764,-87.642884,POINT (-87.642884 41.897764)
1111358,1/9/14 9:01,1/9/14 9:16,1339,899,77,41.882242,-87.641066,POINT (-87.641066 41.882242),41.891072,-87.666611,POINT (-87.666611 41.891072)
1111414,1/9/14 9:20,1/9/14 9:29,1233,496,60,41.91057804,-87.64942193,POINT (-87.649422 41.910578),41.92560188,-87.65370804,POINT (-87.653708 41.925602)
1111501,1/9/14 10:12,1/9/14 10:23,219,640,240,41.954245,-87.654406,POINT (-87.654406 41.954245),41.939743,-87.658865,POINT (-87.658865 41.939743)
1111563,1/9/14 10:53,1/9/14 11:17,219,1428,226,41.939743,-87.658865,POINT (-87.658865 41.939743),41.90939601,-87.67769193,POINT (-87.677692 41.909396)
1111714,1/9/14 12:03,1/9/14 12:21,2522,1055,183,41.899714,-87.677234,POINT (-87.677234 41.899714),41.913778,-87.64884,POINT (-87.64884 41.913778)
1111843,1/9/14 13:01,1/9/14 13:29,359,1624,216,41.903029,-87.697474,POINT (-87.697474 41.903029),41.916017,-87.668879,POINT (-87.668879 41.916017)
1111864,1/9/14 13:13,1/9/14 14:53,2825,5996,302,41.928712,-87.653833,POINT (-87.653833 41.928712),41.90939601,-87.67769193,POINT (-87.677692 41.909396)
1112157,1/9/14 16:03,1/9/14 16:25,2994,1322,158,41.912616,-87.681391,POINT (-87.681391 41.912616),41.92560188,-87.65370804,POINT (-87.653708 41.925602)
1112287,1/9/14 17:14,1/9/14 17:24,268,569,74,41.893882,-87.641711,POINT (-87.641711 41.893882),41.88338,-87.64117,POINT (-87.64117 41.88338)
1112484,1/9/14 18:11,1/9/14 18:23,2824,721,277,41.891072,-87.666611,POINT (-87.666611 41.891072),41.88338,-87.64117,POINT (-87.64117 41.88338)
1112671,1/9/14 19:12,1/9/14 19:34,2522,1368,224,41.913778,-87.64884,POINT (-87.64884 41.913778),41.954177,-87.664358,POINT (-87.664358 41.954177)
1112689,1/9/14 19:25,1/9/14 19:34,1659,576,229,41.943739,-87.66402,POINT (-87.66402 41.943739),41.93649682,-87.64753866,POINT (-87.647539 41.936497)
1112764,1/9/14 20:21,1/9/14 20:41,1559,1212,146,41.877945,-87.662007,POINT (-87.662007 41.877945),41.907655,-87.672552,POINT (-87.672552 41.907655)
1112832,1/9/14 21:13,1/9/14 21:23,607,615,206,41.847203,-87.646795,POINT (-87.646795 41.847203),41.827059,-87.64572,POINT (-87.64572 41.827059)
1112839,1/9/14 21:18,1/9/14 21:28,2522,603,318,41.954177,-87.664358,POINT (-87.664358 41.954177),41.973385,-87.668365,POINT (-87.668365 41.973385)
1112937,1/9/14 21:48,1/9/14 21:54,1378,320,117,41.94018,-87.65304,POINT (-87.65304 41.94018),41.943739,-87.66402,POINT (-87.66402 41.943739)
1112963,1/9/14 21:54,1/9/14 22:06,2392,695,192,41.879255,-87.639904,POINT (-87.639904 41.879255),41.893882,-87.641711,POINT (-87.641711 41.893882)
1113099,1/9/14 23:33,1/9/14 23:53,1698,1240,214,41.89122,-87.67686,POINT (-87.67686 41.89122),41.90939601,-87.67769193,POINT (-87.677692 41.909396)
1113105,1/9/14 23:35,1/9/14 23:53,953,1105,214,41.89122,-87.67686,POINT (-87.67686 41.89122),41.90939601,-87.67769193,POINT (-87.677692 41.909396)
1113154,1/10/14 1:01,1/10/14 1:09,1322,494,183,41.899714,-87.677234,POINT (-87.677234 41.899714),41.899714,-87.677234,POINT (-87.677234 41.899714)
1113156,1/10/14 1:46,1/10/14 2:04,901,1051,124,41.855048,-87.675726,POINT (-87.675726 41.855048),41.895769,-87.67722,POINT (-87.67722 41.895769)
1113272,1/10/14 7:13,1/10/14 7:25,1697,727,137,41.862378,-87.651062,POINT (-87.651062 41.862378),41.87770796,-87.63532114,POINT (-87.635321 41.877708)
1113310,1/10/14 7:33,1/10/14 7:46,1500,777,192,41.879255,-87.639904,POINT (-87.639904 41.879255),41.908537,-87.648627,POINT (-87.648627 41.908537)
